cohort,pc,variable,metric,value,p_value_unadjusted
GSE285773,1,label,pearson_r,0.5823006424962464,0.0018020391048519922
GSE285773,1,cells_per_donor,pearson_r,-0.21428506262573715,0.2931764772844756
GSE285773,1,mean_umi_per_cell,pearson_r,0.4908191654113484,0.01089820114938224
GSE285773,1,mean_genes_per_cell,pearson_r,0.8701721115932383,7.682261173195787e-09
GSE285773,1,mean_pct_mito,pearson_r,-0.19032128438034454,0.35171123754468325
GSE285773,2,label,pearson_r,-0.020805073806992445,0.9196467552143734
GSE285773,2,cells_per_donor,pearson_r,-0.4575383051164835,0.018763416764143455
GSE285773,2,mean_umi_per_cell,pearson_r,0.3048896207464562,0.12989828599226969
GSE285773,2,mean_genes_per_cell,pearson_r,0.1344248924208896,0.5126567886566624
GSE285773,2,mean_pct_mito,pearson_r,-0.0069940777253511294,0.9729494779953431
GSE285773,3,label,pearson_r,-0.08196569819845892,0.6905854778673294
GSE285773,3,cells_per_donor,pearson_r,0.06029679409300428,0.7698280847499499
GSE285773,3,mean_umi_per_cell,pearson_r,-0.019190381788553982,0.9258654739198207
GSE285773,3,mean_genes_per_cell,pearson_r,0.15573379662539777,0.4474407736453607
GSE285773,3,mean_pct_mito,pearson_r,-0.16485958018754496,0.4209300686216353
GSE285773,4,label,pearson_r,-0.33462926323808956,0.09473499857562687
GSE285773,4,cells_per_donor,pearson_r,-0.583199856018232,0.001765791135343477
GSE285773,4,mean_umi_per_cell,pearson_r,-0.3701804532696661,0.06267653305628972
GSE285773,4,mean_genes_per_cell,pearson_r,-0.1306468196625746,0.5246829801482102
GSE285773,4,mean_pct_mito,pearson_r,0.5636021001293483,0.0027146056843283246
GSE285773,5,label,pearson_r,-0.3011541721980869,0.1349072905711831
GSE285773,5,cells_per_donor,pearson_r,0.11606302201848336,0.5723351867474804
GSE285773,5,mean_umi_per_cell,pearson_r,0.4281443299329595,0.029105533860246256
GSE285773,5,mean_genes_per_cell,pearson_r,0.29290815918275237,0.14645633841271255
GSE285773,5,mean_pct_mito,pearson_r,-0.18211183576594453,0.37325047814213985
