Unnamed: 0,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19
cHD1,1479,1571,469,2080,1385,1324,170,791,396,705,854,9,375,178,0,15,108,15,57,0
cHD2,367,2020,361,671,932,1111,141,155,519,357,771,7,225,125,2,2,59,22,22,2
cHD3,730,1581,576,172,577,1022,260,1126,267,754,759,2,156,48,1,7,31,4,43,1
cHD4,582,1294,716,195,268,345,249,691,318,290,183,14,180,134,0,4,36,4,8,2
cHD5,642,385,550,707,324,216,379,648,358,441,32,12,148,169,2,6,33,5,23,0
cHD6,274,1719,763,364,730,732,744,231,643,435,212,11,206,70,5,5,30,12,14,0
cHD7,267,1179,470,196,544,807,702,420,742,402,142,29,246,194,5,11,48,9,29,0
cHD8,348,742,696,663,585,748,607,1177,282,329,262,5,137,96,0,20,43,16,41,10
cHD9,790,718,833,123,703,768,594,734,149,686,279,24,147,120,0,9,52,10,19,3
cHD10,273,1042,717,100,825,813,178,262,276,298,565,3,189,83,0,6,13,10,5,1
cHD11,687,1127,658,218,593,586,657,554,269,203,264,19,137,113,0,11,48,13,22,1
cSLE1,1130,72,229,57,1209,68,410,91,160,246,10,162,140,170,0,5,48,0,7,0
cSLE2,1032,128,510,261,884,436,622,94,252,119,36,86,95,204,0,1,38,0,22,0
cSLE3,1003,61,251,288,277,132,354,160,284,111,6,223,122,356,0,3,16,10,4,1
cSLE4,1851,140,503,252,281,270,954,273,384,396,11,95,157,192,0,3,27,0,39,2
cSLE5,995,480,375,119,324,327,242,172,129,312,128,3,48,110,0,7,78,4,13,1
cSLE6,2064,124,731,221,347,500,123,117,184,375,60,2,39,129,0,9,36,0,7,1
cSLE7,658,59,300,466,291,71,517,152,220,126,12,400,98,180,1,16,14,0,9,0
cSLE8,265,156,730,1239,206,552,952,78,375,399,50,228,330,66,1,1,8,1,6,3
cSLE9,2011,2304,1049,680,418,1444,773,630,1163,505,392,106,198,220,21,6,74,2,14,6
cSLE10,3151,2834,474,539,770,1062,93,361,451,432,804,107,586,56,17,42,32,10,10,12
cSLE11,3414,9,194,783,1189,75,74,930,464,124,8,758,420,197,22,12,0,77,20,2
cSLE12,1211,17,571,232,91,572,13,82,181,69,82,103,15,9,46,51,15,2,0,7
cSLE13,914,499,376,623,360,651,57,119,69,264,557,3,198,94,0,5,31,62,13,3
cSLE14,1644,12,568,772,7,53,15,471,44,188,39,194,16,47,0,8,18,3,10,2
cSLE15,329,1823,339,928,424,603,374,90,409,101,303,13,40,15,0,5,8,0,12,1
cSLE16,319,1379,497,156,458,517,162,136,448,33,322,281,114,73,0,4,8,1,4,0
cSLE17,1092,609,368,38,787,923,64,263,458,79,307,262,224,118,0,19,7,2,7,0
cSLE18,853,1,170,216,449,0,29,169,61,68,0,292,308,11,0,2,15,109,6,2
cSLE19,797,58,1417,921,174,44,420,251,420,221,14,879,128,300,1,6,29,73,15,2
cSLE20,533,867,717,574,98,222,801,113,293,269,145,7,119,26,1,4,40,10,6,1
cSLE21,494,29,254,554,162,16,96,87,105,17,9,335,209,33,3,5,0,7,0,1
cSLE22,748,974,346,122,221,284,133,142,230,215,134,38,89,16,8,6,42,1,13,1
cSLE23,530,174,238,576,158,27,109,161,255,24,13,350,243,168,15,31,20,52,0,3
cSLE24,575,416,372,927,957,131,340,448,318,124,87,245,84,123,0,3,4,29,1,2
cSLE25,1568,159,531,471,305,173,305,66,238,124,111,82,302,51,0,1,67,15,6,1
cSLE26,879,128,532,285,536,232,564,245,734,50,11,449,293,296,2,3,15,13,13,1
cSLE27,1285,29,274,619,477,29,64,283,357,56,21,1447,211,70,8,0,16,87,14,3
cSLE28,1816,27,298,498,122,79,17,212,133,213,42,157,34,236,11,2,51,1,11,0
cSLE29,428,574,431,1098,97,649,250,233,511,593,127,13,46,24,0,11,32,9,13,3
cSLE30,536,1122,693,108,449,596,1291,617,576,346,176,4,145,261,0,5,50,12,8,3
cSLE31,486,483,541,186,169,294,320,250,400,70,89,424,67,22,4,2,7,0,10,2
cSLE32,734,72,915,1550,781,234,281,416,160,481,40,42,41,288,10,7,17,2,28,3
cSLE33,569,768,755,1141,648,836,326,228,579,437,213,27,343,124,1,1,44,10,31,0
