direction,method_id,data_key,expression_key,status,auc,pr_auc,brier,n_donors,n_cases,n_controls,calibration_intercept,calibration_slope,auc_ci_low,auc_ci_high,auc_bootstrap_reps
GSE174188_CD4_to_GSE285773,moments_mean_var@scgpt,scgpt,,SUCCESS,0.9625000000000001,0.9770716619981326,0.34615977276475157,26,16,10,-181.40781009055618,13.281249550613424,0.88125,1.0,5000
GSE174188_CD4_to_GSE285773,focus_lite@scgpt,scgpt,lognorm,SUCCESS,0.93125,0.9701470588235295,0.28679327496218904,26,16,10,-7.965209453039835,3.4148570138981547,0.79984375,1.0,5000
GSE174188_CD4_to_GSE285773,donor_expression_pca,lognorm,,SUCCESS,0.9312499999999999,0.96875,0.173172473916756,26,16,10,-1.7025122888191346,0.6981187015682412,0.8000000000000002,1.0,5000
GSE174188_CD4_to_GSE285773,donor_mean_hvg,lognorm,,SUCCESS,0.8999999999999999,0.9526785714285715,0.4764573628694286,26,16,10,18.071440760958943,1.3762770677433052,0.7500000000000001,1.0,5000
GSE174188_CD4_to_GSE285773,scgpt_mean,scgpt,,SUCCESS,0.8812500000000001,0.9350561787269915,0.615317842565787,26,16,10,218.29132016329103,15.787256514588236,0.7375,0.9812500000000001,5000
GSE174188_CD4_to_GSE285773,quantiles@scgpt,scgpt,,SUCCESS,0.8625,0.9360660173160174,0.3258961546700178,26,16,10,-0.42241315271668073,0.08859431586924668,0.69375,0.9875,5000
GSE174188_CD4_to_GSE285773,red@scgpt,scgpt,,SUCCESS,0.85,0.920190510330313,0.38461461538561537,26,16,10,0.00244957696509334,0.0338421539465115,0.6749999999999999,0.975,5000
GSE174188_CD4_to_GSE285773,kme_multiscale@scgpt,scgpt,,SUCCESS,0.640625,0.694927536231884,0.38455677570436847,26,16,10,-14.83101482661907,1.115141717230956,0.475,0.8156249999999999,5000
GSE174188_CD4_to_GSE285773,tail_fractions@scgpt,scgpt,,SUCCESS,0.5,0.6153846153846154,0.38461461538561537,26,16,10,0.00244957696509334,0.0338421539465115,0.5,0.5,5000
GSE285773_to_GSE174188_CD4,donor_mean_hvg,lognorm,,SUCCESS,0.8063973063973064,0.892523780030783,0.31312232162133025,261,162,99,1.711132887181574,0.40340482398587224,0.754204077815189,0.8542851353036538,5000
GSE285773_to_GSE174188_CD4,donor_expression_pca,lognorm,,SUCCESS,0.7902481606185309,0.8960820437656338,0.25202926258883435,261,162,99,1.97206441643907,1.4607542456744764,0.7349388951240804,0.8419410150891633,5000
GSE285773_to_GSE174188_CD4,focus_lite@scgpt,scgpt,lognorm,SUCCESS,0.7544581618655692,0.8563895870122893,0.5868927429281182,261,162,99,4.402769509303694,0.7648068832979147,0.6954077815188927,0.8098282204763686,5000
GSE285773_to_GSE174188_CD4,scgpt_mean,scgpt,,SUCCESS,0.7304526748971194,0.8448887139098558,0.4432413901971025,261,162,99,1.8066359326431207,0.17409966250197217,0.6699089662052625,0.7890650330465145,5000
GSE285773_to_GSE174188_CD4,red@scgpt,scgpt,,SUCCESS,0.7195410899114603,0.741501115646101,0.26368113241630503,261,162,99,-0.3601345793922377,0.1718742796535691,0.651505798728021,0.7853862701084923,5000
GSE285773_to_GSE174188_CD4,kme_multiscale@scgpt,scgpt,,SUCCESS,0.6134804838508542,0.7135290532693656,0.48420967360142375,261,162,99,0.6865947739195083,0.04084889116984562,0.53940329218107,0.6855608554682627,5000
GSE285773_to_GSE174188_CD4,moments_mean_var@scgpt,scgpt,,SUCCESS,0.5909714428232946,0.718336212342196,0.46931227573570666,261,162,99,0.7661456685937882,0.0509679328240586,0.5184514902107495,0.660250654695099,5000
GSE285773_to_GSE174188_CD4,quantiles@scgpt,scgpt,,SUCCESS,0.5728270357899987,0.6828537746726668,0.4750810989107365,261,162,99,0.5587426822435536,0.020836888018385236,0.49874828532235943,0.6447265868562163,5000
GSE285773_to_GSE174188_CD4,tail_fractions@scgpt,scgpt,,SUCCESS,0.46349295423369496,0.559230383756067,0.5532330914711047,261,162,99,0.45355046521838,-0.011071841230715225,0.3864236500810575,0.5409714428232946,5000
