cohort,estimand,split_id,method_id,n_donors,roc_auc,pr_auc,brier
GSE174188_CD4,matched_500_cells_per_donor,0,attention_mil,261,0.9699463773537847,0.9843227969369417,0.06437681752379287
GSE174188_CD4,matched_500_cells_per_donor,0,cckme_u,261,0.9696346177827659,0.9784637612327911,0.06351160038674294
GSE174188_CD4,matched_500_cells_per_donor,0,cckme_u@scgpt,261,0.9696346177827659,0.9784637612327911,0.06351160038674294
GSE174188_CD4,matched_500_cells_per_donor,0,cckme_u_weighted,261,0.9697593216111734,0.9793254962637826,0.06536145477736276
GSE174188_CD4,matched_500_cells_per_donor,0,deep_sets,261,0.9599700710811823,0.9772426205657018,0.07242937080157513
GSE174188_CD4,matched_500_cells_per_donor,0,donor_expression_pca,261,0.9856590597331338,0.9918289228631735,0.054424439569741204
GSE174188_CD4,matched_500_cells_per_donor,0,donor_mean_hvg,261,0.9839755580496321,0.990505732256811,0.0553413464420507
GSE174188_CD4,matched_500_cells_per_donor,0,donorclr,261,0.935465768799102,0.960400326014283,0.09637439942648893
GSE174188_CD4,matched_500_cells_per_donor,0,focus_lite,261,0.9579124579124579,0.9735865995856006,0.07993724138000749
GSE174188_CD4,matched_500_cells_per_donor,0,focus_lite@scgpt,261,0.9579124579124579,0.9735865995856006,0.07993724138000749
GSE174188_CD4,matched_500_cells_per_donor,0,gds,261,0.9463773537847612,0.9692295217157698,0.09077652303330723
GSE174188_CD4,matched_500_cells_per_donor,0,kme_multiscale@scgpt,261,0.977865070457663,0.9864794311120084,0.05609746379323055
GSE174188_CD4,matched_500_cells_per_donor,0,mixmil,261,0.9585359770544954,0.9758955363972911,0.09536040550670404
GSE174188_CD4,matched_500_cells_per_donor,0,moments_mean_var@scgpt,261,0.9665793739867814,0.964644185120644,0.06554249643194025
GSE174188_CD4,matched_500_cells_per_donor,0,prototype_histogram@scgpt,261,0.9467514652699838,0.9622950579745421,0.08921655702244773
GSE174188_CD4,matched_500_cells_per_donor,0,quantiles@scgpt,261,0.9601571268237935,0.965295124388904,0.08113882114657295
GSE174188_CD4,matched_500_cells_per_donor,0,raw_pseudobulk,261,0.9879037286444694,0.9925937095403877,0.05422852897714244
GSE174188_CD4,matched_500_cells_per_donor,0,red,261,0.9392692355655318,0.964227410235557,0.09909985398652678
GSE174188_CD4,matched_500_cells_per_donor,0,red@scgpt,261,0.9392692355655318,0.964227410235557,0.09909985398652678
GSE174188_CD4,matched_500_cells_per_donor,0,scgpt_mean,261,0.9783638857712931,0.9876631018912675,0.06198887298797397
GSE174188_CD4,matched_500_cells_per_donor,0,set_transformer,261,0.9542960468886394,0.9754846597167579,0.08744642678205039
GSE174188_CD4,matched_500_cells_per_donor,0,tail_fractions@scgpt,261,0.9622147399925178,0.9680557321021512,0.06372587343999811
GSE174188_CD4,matched_500_cells_per_donor,0,topk_mil,261,0.9687616909839132,0.9822413746468303,0.06563663166819327
GSE174188_CD4,matched_500_cells_per_donor,0,uder_kme@scgpt,261,0.5652201022571393,0.6698667325543737,0.3832920561256332
GSE174188_CD4,matched_500_cells_per_donor,0,uder_meanvar@scgpt,261,0.5523756079311634,0.6831991643389663,0.36833948299581426
